"geneID"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Nxnl1"	8.476224433	6.394181705	1.314092154	4.86585487	1.14e-06	0.002564598
"Ctu2"	582.1254216	-0.666206755	0.161674563	-4.120665264	3.78e-05	0.035795646
"Kbtbd3"	517.1349846	0.599965883	0.15074325	3.980051389	6.89e-05	0.045941237
"Zglp1"	5.92311317	6.12737622	1.635721016	3.745978782	0.000179692	0.065195708
"Klhl31"	13.08696445	-6.423805398	1.698601467	-3.781820234	0.000155686	0.064938839
"E030011O05Rik"	9.832991586	-6.65981979	1.531557454	-4.348396969	1.37e-05	0.016459089
"Ccdc22"	411.8497564	-0.748389048	0.189216732	-3.955194869	7.65e-05	0.046973471
"Dcaf12l1"	755.1464133	0.488177714	0.125149887	3.900744343	9.59e-05	0.050777663
"Smim9"	11.84181789	7.686104663	1.469216093	5.231432393	1.68e-07	0.001009378
"Pdzd11"	1548.191823	0.374530461	0.080630004	4.645050767	3.4e-06	0.006120891
"Hdx"	33.0925976	-2.126973351	0.602481368	-3.530355403	0.000415002	0.098083009
"3010001F23Rik"	99.45325671	-1.291811308	0.33864983	-3.814593107	0.000136408	0.061393606
