"geneID"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Fgf13"	324.118157	2.809674003	0.482987526	5.817280674	5.98e-09	4.4e-06
"Fmr1"	4269.509346	1.098909075	0.162560273	6.760010007	1.38e-11	2.33e-08
"Gpr50"	13.24161608	7.805071811	2.084671854	3.744028969	0.000181093	0.018560362
"Bcap31"	5840.015888	0.534120703	0.081327432	6.567534324	5.12e-11	6.65e-08
"G6pdx"	2868.899695	0.707974713	0.167888073	4.21694465	2.48e-05	0.004519045
"Nlgn3"	524.7167427	-0.829588205	0.25815261	-3.213557299	0.001311016	0.079464508
"Srpx2"	508.2978739	1.652820071	0.412157561	4.010165591	6.07e-05	0.008342235
"Il13ra2"	12.33844616	7.753280564	2.239886433	3.46146146	0.000537251	0.041868444
"Phf8"	1679.680852	0.483171843	0.149098855	3.240614042	0.001192726	0.073883448
"Tspyl2"	1861.301721	-0.537449455	0.149865161	-3.586220103	0.000335506	0.030520056
"S100g"	8.98131139	7.097678908	2.177732118	3.259206607	0.001117243	0.070749332
